site,time,obs_permil,mix_c14_nuclear,mix_c14_ocedis,mix_c14_biodis,mix_c14_ocean,mix_c14_biosphere,mix_c14_fossil,mix_bg_D14C
LIN,2018-12-25 11:00:00,-18.04431667495988,1.7699013900529967,0.008991599789495396,0.2635338617482301,-0.00015336856173875192,0.008991680086469955,-13.462362917011223,-6.774859308196998
LIN,2018-12-26 11:00:00,-18.04431667495988,1.7699013900529967,0.008991599789495396,0.2635338617482301,-0.00015336856173875192,0.008991680086469955,-13.462362917011223,-6.774859308196998
LIN,2018-12-27 11:00:00,-18.04431667495988,1.7699013900529967,0.008991599789495396,0.2635338617482301,-0.00015336856173875192,0.008991680086469955,-13.462362917011223,-6.774859308196998
LIN,2018-12-28 11:00:00,-18.04431667495988,1.7699013900529967,0.008991599789495396,0.2635338617482301,-0.00015336856173875192,0.008991680086469955,-13.462362917011223,-6.774859308196998
LIN,2018-12-29 11:00:00,-18.04431667495988,1.7699013900529967,0.008991599789495396,0.2635338617482301,-0.00015336856173875192,0.008991680086469955,-13.462362917011223,-6.774859308196998
LIN,2018-12-30 11:00:00,-18.04431667495988,1.7699013900529967,0.008991599789495396,0.2635338617482301,-0.00015336856173875192,0.008991680086469955,-13.462362917011223,-6.774859308196998
LIN,2018-12-31 11:00:00,-18.04431667495988,1.7699013900529967,0.008991599789495396,0.2635338617482301,-0.00015336856173875192,0.008991680086469955,-13.462362917011223,-6.774859308196998
LIN,2018-12-31 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-01 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-02 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-03 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-04 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-05 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-06 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-07 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-08 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-09 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-10 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-11 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-12 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-13 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
LIN,2019-01-14 11:00:00,-30.244239591408622,5.147994220600226,0.015434711608319466,0.3485641452423394,-0.00010460852895014421,0.010666449253602486,-29.01192929268131,-7.0295141350618575
